nc_code,category,reason,detail
NC_0954,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0956,B2B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0957,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0960,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0965,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0966,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0967,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0968,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0974,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0975,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0979,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0981,B2B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0982,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0985,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0986,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0989,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0990,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0991,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0992,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_0995,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1004,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1006,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1007,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1011,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1012,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1013,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1022,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1024,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1026,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1027,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1028,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1030,B2B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1031,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1032,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1033,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1037,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1040,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1042,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1043,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1045,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1047,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1048,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1049,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1053,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1054,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1055,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1056,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1057,B2B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1059,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1060,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1061,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1062,B2B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1063,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1064,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1065,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1066,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1068,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1069,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1070,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1071,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1073,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1074,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1075,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1076,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1077,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1078,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1084,B2B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1086,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1087,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1089,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1090,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1091,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1094,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1096,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1098,B2B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1100,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1109,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1110,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1112,B2B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1120,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1123,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1124,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1126,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1127,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1130,B2B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1131,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1132,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1133,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1134,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1135,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1136,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1137,B2B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1139,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1141,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1142,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1143,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1144,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1147,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1149,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1155,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1156,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1157,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1158,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1159,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1161,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1162,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1163,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1165,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1166,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1169,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1170,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1171,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1172,B2B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1173,B2B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1176,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1177,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1178,B2B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1179,B2B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1181,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1183,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1184,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1185,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1187,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1190,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1191,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1193,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1197,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1198,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1199,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1200,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1201,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1202,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1203,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1204,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1205,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1206,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1208,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1210,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1212,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1222,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1223,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1225,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1226,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1227,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1229,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1230,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1232,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1233,B2B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1234,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1235,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1236,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1237,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1240,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1242,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1244,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1248,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1252,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1253,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1255,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1256,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1259,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1260,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1265,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1266,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1268,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1270,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1271,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1273,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1274,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1275,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1277,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1278,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1279,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1284,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1290,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1291,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1292,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1293,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1295,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1300,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1301,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1303,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1304,B2B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1309,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1311,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1313,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1314,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1315,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1316,B2B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1318,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1322,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1323,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1324,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1326,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1328,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1330,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1333,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1334,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1339,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1340,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1345,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1346,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1347,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1348,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1349,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1350,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1351,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1352,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1354,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1357,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1358,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1359,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1360,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1361,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1364,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1365,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1366,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1367,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1371,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1372,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1376,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1377,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1378,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1379,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1380,B2B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1381,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1384,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1400,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1404,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1405,B2B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1408,B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1409,B2B2C,SKIPPED_NO_SIGNATURE,"AIRBNB_MARILENA_MASTRODINA.pdf"
NC_1413,B2B,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1416,B2B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
NC_1417,B2B2C,NO_PDF_IN_ARCHIVE,"No blindable PDF under NewCustomers (often docx/html only)"
